Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Welch Motor Co,2505 S Olive St,,Pine Bluff,AR,71601,,870-534-1551,E,,Private,,,,,,,1,,,Non-Networked,,200-8,34.20392,-92.00651,2/12/2024,44398,2025-02-12 00:16:32 UTC,P,,,11/30/2011,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,City of Fayetteville,113 W Mountain St,Station is located in the parking lot across Mountain St from City Hall.,Fayetteville,AR,72701,,479-575-8280,E,,Public,24 hours daily; pay lot 8am-6pm M-F; free after hours,,,,,,2,,,Non-Networked,,GPS,36.062338,-94.161371,12/10/2024,52331,2025-02-12 00:16:32 UTC,LG,,,7/9/2013,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,$0.25 per hour,,,,,,,,,,FALSE,,,,,,,,LD,FALSE,
ELEC,Trotter Nissan,1910 W Hillsboro,,El Dorado,AR,71730,,870-864-4700,E,,Public - Call ahead,Dealership business hours,,,,,,1,,,Non-Networked,,200-9,33.208096,-92.689847,2/12/2024,63391,2025-02-12 00:16:32 UTC,P,,,2/25/2013,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,McLarty Daniel Chevrolet,1159 N 45th St,,Springdale,AR,72762,,,E,,Private,For service center use only,,,,,,2,,,Non-Networked,,GPS,36.19556301,-94.17816151,5/12/2025,64384,2026-02-02 23:16:24 UTC,P,,,6/1/2013,,,,,J1772,US,,,,Privé,,private,,,CAR_DEALER,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Cogswell Motors,1900 E Main St,,Russellville,AR,72801,,479-968-2665,E,,Public,Dealership customers only,,,,,,2,,,Non-Networked,,200-9,35.277594,-93.110985,8/12/2025,64387,2026-02-02 23:16:24 UTC,P,,,6/1/2013,,,,,J1772,US,,,,Public,,public,,,CAR_DEALER,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,Arkansas Early Learning - Jonesboro,1901 Woodsprings Rd,Suite B,Jonesboro,AR,72401,,,E,,Private,"6pm-6am M-F, 24 hours Sat-Sun",,,,,,3,,,Non-Networked,,GPS,35.817357,-90.730644,1/13/2025,64390,2025-02-12 00:16:32 UTC,P,,,1/1/2013,,,,,J1772,US,,,,Privé,,private,,,OFFICE_BLDG,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,Arkansas Early Learning - Wynne Head Start,320 Magnolia St,Located behind the building,Wynne,AR,72396,,,E,,Private,"6pm-6am M-F, 24 hours Sat-Sun",,,,,,1,,,Non-Networked,,200-9,35.23795,-90.791657,7/12/2022,64391,2023-02-15 22:45:41 UTC,P,,,1/1/2013,,,,,J1772,US,,,,Privé,,private,,,SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,LD,FALSE,
ELEC,Arkansas Early Learning - Carlew Templeton,3119 Highway 367 N,Located behind the building,Newport,AR,72112,,,E,,Private,"6pm-6am M-F, 24 hours Sat-Sun",,,,,,1,,,Non-Networked,,200-8,35.634389,-91.251839,7/12/2022,64392,2023-02-15 22:45:41 UTC,P,,,11/1/2014,,,,,J1772,US,,,,Privé,,private,,,SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,Central Arkansas Main Library - Parking Deck,100 Rock St,Located on the Green Level,Little Rock,AR,72201,,501-918-3000,E,,Public,24 hours daily; pay lot,,,,,,1,,,Non-Networked,,200-9,34.746977,-92.267343,8/12/2025,80095,2026-02-02 23:16:24 UTC,LG,,,12/1/2016,,,,,J1772,US,,,,Public,,public,,,LIBRARY,,,,,,,Free,,,,,,,,,NONE,FALSE,,,,,,,,LD,FALSE,
ELEC,Arkansas Early Learning - West Memphis,111 E Jackson Ave,Located behind the building,West Memphis,AR,72301,,,E,,Private,"6pm-6am M-F, 24 hours Sat-Sun",,,,,,1,,,Non-Networked,,200-9,35.139033,-90.184062,7/12/2022,81824,2023-02-15 22:45:41 UTC,P,,,7/1/2017,,,,,J1772,US,,,,Privé,,private,,,SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,AECC-AECI AECC STATION 1,1 81st St,The Electric Cooperatives of Arkansas,Little Rock,AR,72209,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,34.677391,-92.322035,3/29/2026,88733,2026-03-29 01:21:53 UTC,,,,12/9/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,UAMS PARKING 2A,4105 Ambulance Dr,Top of parking building,Little Rock,AR,72205,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,34.750153,-92.319676,3/29/2026,93761,2026-03-29 01:25:25 UTC,,,,3/9/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Arkansas Early Learning - Mary Ann Arnold,33900 Highway 63 E,Located behind the building,Marked Tree,AR,72365,,,E,,Private,"6pm-6am M-F, 24 hours Sat-Sun",,,,,,1,,,Non-Networked,,GPS,35.525986,-90.438794,7/12/2022,93839,2023-02-15 22:45:41 UTC,P,,,2/1/2018,,,,,J1772,US,,,,Privé,,private,,,SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,Outlets of Little Rock - Tesla Supercharger,11201 Bass Pro Parkway,,Little Rock,AR,72210,,877-798-3752,E,,Public,24 hours daily. Please check Tesla's online station map to see if an adapter is required at this location.,,,,,,,10,,Tesla,https://www.tesla.com/supercharger,200-9,34.6614,-92.41031,7/1/2024,101979,2025-05-06 21:07:47 UTC,P,,,9/1/2017,,,,,TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,FCC Forrest City,County Rd 206,,Forrest City,AR,72335,,,E,,Private - Government only,Fueling equipment located in a secure area with no public access,,,,,,4,,,Non-Networked,,GPS,35.012285,-90.821884,12/12/2025,102617,2026-02-02 23:16:24 UTC,FG,12,Department of Justice,9/1/2018,,,,,J1772,US,,,,Privé - Réservé au gouvernement,,private,GOVERNMENT,DOJ,FED_GOV,,,,,,,,,,,,,,,,,,,,,,,,,LD,TRUE,
ELEC,AECC-AECI AECC-AECI,1 Cooperative Way,,Little Rock,AR,72209,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,34.677715,-92.324683,3/29/2026,104972,2026-03-29 01:24:29 UTC,,,,11/28/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,HONDA WORLD SHOP 01,450 E Dave Ward Dr,Main garage,Conway,AR,72032,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,35.067266,-92.423451,3/29/2026,105083,2026-03-29 01:32:28 UTC,,,,12/4/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Fairfield Inn & Suites by Marriott Little Rock - Tesla Destination,17320 I-30,,Benton,AR,72019,,877-798-3752,E,,Public,,,,,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,34.580653,-92.581931,7/1/2024,112725,2025-02-12 00:16:32 UTC,P,,,8/28/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,21c Hotel Bentonville - Tesla Destination,200 NE A St,,Bentonville,AR,72712,,877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,36.374129,-94.207805,7/1/2024,112726,2025-02-12 00:16:32 UTC,P,,,9/4/2014,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Holiday Inn Express & Suites Conway - Tesla Destination,2330 Sanders Rd,,Conway,AR,72032,,877-798-3752,E,,Public,,,,,,,8,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,35.10887,-92.435137,7/1/2024,112727,2025-02-12 00:16:32 UTC,P,,,10/12/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Candlewood Suites Conway - Tesla Destination,2360 Sanders Rd,,Conway,AR,72032,,877-798-3752,E,,Public,,,,,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,35.109541,-92.434177,7/1/2024,112728,2025-02-12 00:16:32 UTC,P,,,12/19/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Comfort Inn & Suites Conway - Tesla Destination,2370 Sanders Rd,,Conway,AR,72032,,877-798-3752,E,,Public,,,,,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,35.109551,-92.435217,7/1/2024,112729,2025-02-12 00:16:32 UTC,P,,,10/12/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Comfort Suites Conway - Tesla Destination,705 Museum Rd,,Conway,AR,72032,,877-798-3752,E,,Public,,,,,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,35.089748,-92.419566,7/1/2024,112730,2025-02-12 00:16:32 UTC,P,,,10/12/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Arsenic and Old Lace Bed & Breakfast Inn - Tesla Destination,60 Hillside Ave,,Eureka Springs,AR,72632,,877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,36.410859,-93.734789,7/1/2024,112732,2025-02-12 00:16:32 UTC,P,,,7/21/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,B_AND_B,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Lindsey's Resort - Tesla Destination,350 Rainbow Loop,,Heber Springs,AR,72543,,877-798-3752,E,,Public,,,,,,,16,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,35.517765,-91.956442,7/1/2024,112733,2025-02-12 00:16:32 UTC,P,,,11/29/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,The Hotel Hot Springs and Spa - Tesla Destination,305 Malvern Ave,,Hot Springs,AR,71901,,877-798-3752,E,,Public,,,,,,,10,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.508703,-93.051798,7/1/2024,112734,2025-02-12 00:16:32 UTC,P,,,11/8/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Arlington Resort Hotel & Spa - Tesla Destination,239 Central Ave,,Hot Springs National Park,AR,71901,,877-798-3752,E,,Public,,,,,,,12,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.516566,-93.053195,7/1/2024,112735,2025-02-12 00:16:32 UTC,P,,,10/5/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,Hot Springs National Park,,,,FALSE,
ELEC,Lookout Point Lakeside Inn - Tesla Destination,104 Lookout Cir,,Lake Hamilton,AR,71913,,877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.427554,-93.084472,7/1/2024,112736,2025-02-12 00:16:32 UTC,P,,,3/20/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Electric Cooperatives of Arkansas - Tesla Destination,1 Cooperative Wy,,Little Rock,AR,72209,,877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.677546,-92.32246,7/1/2024,112737,2025-02-12 00:16:32 UTC,P,,,1/5/2018,,,,,TESLA,US,,,,Public,,public,,,UTILITY,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,The Capital Hotel - Tesla Destination,111 W Markham St,,Little Rock,AR,72201,,877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.747836,-92.271296,7/1/2024,112738,2025-02-12 00:16:32 UTC,P,,,5/21/2018,,,,,TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Wingate by Wyndham Little Rock - Tesla Destination,1212 S Shackleford Rd,,Little Rock,AR,72211,,877-798-3752,E,,Public,,,,,,,8,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,34.742121,-92.394751,7/1/2024,112739,2025-02-12 00:16:32 UTC,P,,,9/19/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Residence Inn by Marriott Little Rock - Tesla Destination,1401 S Shackleford Rd,,Little Rock,AR,72211,,877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.740359,-92.393258,7/1/2024,112740,2025-02-12 00:16:32 UTC,P,,,9/19/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Holiday Inn Airport Conference Center Little Rock - Tesla Destination,3201 Bankhead Dr,,Little Rock,AR,72206,,877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.714206,-92.221999,7/1/2024,112741,2025-02-12 00:16:32 UTC,P,,,11/2/2016,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Red Roof Inn Little Rock - Tesla Destination,8115 Frenchmans Ln,,Little Rock,AR,72209,,877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.677106,-92.346704,7/1/2024,112742,2025-02-12 00:16:32 UTC,P,,,12/4/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Embassy Suites by Hilton Little Rock - Tesla Destination,11301 Financial Centre Pkwy,,Little Rock,AR,72211,,877-798-3752,E,,Public,,,,,,,12,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.746203,-92.400096,7/1/2024,112743,2025-02-12 00:16:32 UTC,P,,,12/5/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,GuestHouse Inn & Suites Little Rock - Tesla Destination,301 S University Ave,,Little Rock,AR,72205,,877-798-3752,E,,Public,,,,,,,6,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.749188,-92.340557,7/1/2024,112744,2025-02-12 00:16:32 UTC,P,,,2/20/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,INN,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Markham House Suites Little Rock Medical Center - Tesla Destination,5120 W Markham St,,Little Rock,AR,72205,,877-798-3752,E,,Public,,,,,,,5,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,34.752214,-92.33148,7/1/2024,112745,2025-02-12 00:16:32 UTC,P,,,1/2/2018,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Wingate by Wyndham North Little Rock - Tesla Destination,4801 W Commercial Dr,,North Little Rock,AR,72116,,877-798-3752,E,,Public,,,,,,,4,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,34.798186,-92.220407,7/1/2024,112746,2025-02-12 00:16:32 UTC,P,,,8/28/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Best Western Sherwood Inn & Suites - Tesla Destination,7533 Warden Rd,,North Little Rock,AR,72120,,877-798-3752,E,,Public,,,,,,,12,,,Tesla Destination,https://www.tesla.com/destination-charging,200-8,34.825598,-92.193904,7/1/2024,112747,2025-02-12 00:16:32 UTC,P,,,8/28/2017,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,Super 8 Russellville - Tesla Destination,2404 N Arkansas Ave,,Russellville,AR,72802,,877-798-3752,E,,Public,,,,,,,3,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,35.304266,-93.136555,7/1/2024,112749,2025-02-12 00:16:32 UTC,P,,,6/30/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
ELEC,OZARKS PARKING STATION 1,3641 W Wedington Dr,,Fayetteville,AR,72704,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,https://www.chargepoint.com,GPS,36.078072,-94.211395,3/29/2026,117183,2026-03-29 01:33:02 UTC,,,,1/19/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,SIR CHARGE ALOT SHOP02,1384 W Showroom Dr,,Fayetteville,AR,72704,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,https://www.chargepoint.com,GPS,36.108711,-94.17869,3/29/2026,119037,2026-03-29 01:33:28 UTC,,,,3/8/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,Lake Lucerne Resort and Ranch,48 CR 317,,Eureka Springs,AR,72632,,479-253-8780,E,,Public,24 hours daily; for Tesla use only; free for guests,,,,,,2,,,Non-Networked,,GPS,36.37430623,-93.73311519,1/13/2025,121083,2025-02-12 00:16:32 UTC,P,,,3/26/2019,,,,,J1772 TESLA,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,TRUE,,,,,,,,LD,FALSE,
ELEC,"Walmart 5260 (Rogers, AR)",4280 S Pleasant Crossing Blvd.,,Rogers,AR,72758,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com,GPS,36.28078,-94.15126,3/29/2026,121802,2026-03-29 04:22:53 UTC,,,,4/26/2019,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,"Walmart 66 (Clarksville, AR)",230 Market Street,,Clarksville,AR,72830,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com,GPS,35.4498,-93.45964,3/29/2026,121814,2026-03-29 04:22:54 UTC,,,,4/26/2019,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,"Walmart 91 (Forrest City, AR)",205 Deaderick Rd,,Forrest City,AR,72335,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com,GPS,35.02918,-90.79463,3/29/2026,121819,2026-03-29 04:22:57 UTC,,,,8/14/2018,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,"Walmart 124 (Little Rock, AR)",8801 Baseline Road,,Little Rock,AR,72209,,833-632-2778,E,,Public,24 hours daily,,,,,,,8,,Electrify America,https://www.electrifyamerica.com,GPS,34.66868,-92.37668,3/29/2026,121820,2026-03-29 04:24:48 UTC,,,,4/26/2019,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,"Walmart 1065 (Hope, AR)",2400 N Hervey St.,,Hope,AR,71801,,833-632-2778,E,,Public,24 hours daily,,,,,,,4,,Electrify America,https://www.electrifyamerica.com,GPS,33.68172,-93.61562,3/29/2026,121827,2026-03-29 04:23:57 UTC,,,,7/17/2018,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,
ELEC,"The Inn at Rose Hall, a Select Registry Property - Tesla Destination",56 Hillside Ave,,Eureka Springs,AR,72632,,877-798-3752,E,,Public,,,,,,,2,,,Tesla Destination,https://www.tesla.com/destination-charging,200-9,36.410313,-93.734754,7/1/2024,122360,2025-02-12 00:16:32 UTC,P,,,6/29/2015,,,,,J1772 TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,
